学校,所在学院,URL
中山大学南方学院,文学与传媒学院,http://wcy.nfu.edu.cn/a/xueyuangaikuang/zhuanyeshezhi/wangluoyuxinmeitix/
西北大学,新闻传播学院,https://xinwen.nwu.edu.cn/info/1006/1976.htm
